timestamp,gpu_id,gpu_utilization,memory_utilization,gpu_power_draw,gpu_temperature,gpu_fan_speed,gpu_clock_speed,cpu_utilization,memory_usage,server_power_draw,server_temperature,disk_usage,network_bandwidth
2024-03-31 00:00:00,GPU_0,34.72,35.8,67.3,58.04,86.07,1078.48,7.86,38.63,193.32,32.59,37.55,140.73
2024-03-31 00:00:00,GPU_1,6.31,7.31,12.75,35.17,40.34,1081.14,7.86,38.63,193.32,32.59,37.55,140.73
2024-03-31 00:00:00,GPU_2,8.01,6.68,24.57,38.29,46.58,1071.47,7.86,38.63,193.32,32.59,37.55,140.73
2024-03-31 00:00:00,GPU_3,12.09,14.5,33.06,34.13,38.26,1000.0,7.86,38.63,193.32,32.59,37.55,140.73
2024-03-31 00:05:00,GPU_0,38.47,36.61,73.28,54.49,78.98,1186.24,16.56,21.34,186.17,32.99,52.31,163.15
2024-03-31 00:05:00,GPU_1,7.17,6.5,10.45,30.67,31.35,1007.28,16.56,21.34,186.17,32.99,52.31,163.15
2024-03-31 00:05:00,GPU_2,8.9,7.82,16.84,33.14,36.28,1060.19,16.56,21.34,186.17,32.99,52.31,163.15
2024-03-31 00:05:00,GPU_3,13.9,13.31,22.37,41.62,53.25,1082.34,16.56,21.34,186.17,32.99,52.31,163.15
2024-03-31 00:10:00,GPU_0,38.14,43.95,76.98,54.57,79.15,1286.69,11.82,35.41,179.56,34.32,54.5,73.63
2024-03-31 00:10:00,GPU_1,11.52,12.5,10.0,41.68,53.36,1084.52,11.82,35.41,179.56,34.32,54.5,73.63
2024-03-31 00:10:00,GPU_2,5.31,4.53,9.4,31.57,33.14,1037.76,11.82,35.41,179.56,34.32,54.5,73.63
2024-03-31 00:10:00,GPU_3,9.88,9.23,24.63,37.83,45.67,1008.53,11.82,35.41,179.56,34.32,54.5,73.63
2024-03-31 00:15:00,GPU_0,38.53,35.06,73.91,56.35,82.71,1221.65,12.1,37.12,191.86,32.95,47.47,138.8
2024-03-31 00:15:00,GPU_1,13.6,15.7,24.07,38.98,47.96,1063.35,12.1,37.12,191.86,32.95,47.47,138.8
2024-03-31 00:15:00,GPU_2,14.13,11.67,25.46,37.65,45.31,1038.89,12.1,37.12,191.86,32.95,47.47,138.8
2024-03-31 00:15:00,GPU_3,6.78,5.61,15.8,35.43,40.85,1003.64,12.1,37.12,191.86,32.95,47.47,138.8
2024-03-31 00:20:00,GPU_0,32.8,31.09,70.79,47.06,64.11,1089.5,10.55,35.63,178.9,32.62,64.68,143.81
2024-03-31 00:20:00,GPU_1,8.56,10.24,15.89,32.02,34.04,1053.89,10.55,35.63,178.9,32.62,64.68,143.81
2024-03-31 00:20:00,GPU_2,10.88,12.35,23.19,32.52,35.03,1051.13,10.55,35.63,178.9,32.62,64.68,143.81
2024-03-31 00:20:00,GPU_3,10.62,9.55,17.46,33.83,37.66,1072.13,10.55,35.63,178.9,32.62,64.68,143.81
2024-03-31 00:25:00,GPU_0,24.4,23.74,44.22,50.87,71.73,1073.02,10.32,31.94,163.33,29.77,46.63,77.03
2024-03-31 00:25:00,GPU_1,5.78,5.78,14.82,36.06,42.11,1014.91,10.32,31.94,163.33,29.77,46.63,77.03
2024-03-31 00:25:00,GPU_2,9.85,11.47,15.8,39.62,49.23,1080.53,10.32,31.94,163.33,29.77,46.63,77.03
2024-03-31 00:25:00,GPU_3,11.13,10.97,22.59,37.32,44.65,1099.18,10.32,31.94,163.33,29.77,46.63,77.03
2024-03-31 00:30:00,GPU_0,36.08,39.33,68.92,51.57,73.14,1166.45,13.47,28.66,223.89,31.5,46.1,116.19
2024-03-31 00:30:00,GPU_1,13.26,14.25,23.19,43.92,57.85,1074.03,13.47,28.66,223.89,31.5,46.1,116.19
2024-03-31 00:30:00,GPU_2,12.87,13.78,29.06,35.5,41.01,1036.92,13.47,28.66,223.89,31.5,46.1,116.19
2024-03-31 00:30:00,GPU_3,10.33,10.98,22.33,37.22,44.45,1000.0,13.47,28.66,223.89,31.5,46.1,116.19
2024-03-31 00:35:00,GPU_0,31.76,27.93,53.41,48.26,66.51,1143.06,18.35,29.46,173.48,33.69,71.12,67.13
2024-03-31 00:35:00,GPU_1,12.66,13.15,33.1,43.08,56.16,1096.34,18.35,29.46,173.48,33.69,71.12,67.13
2024-03-31 00:35:00,GPU_2,5.99,5.26,16.89,30.59,31.18,1068.15,18.35,29.46,173.48,33.69,71.12,67.13
2024-03-31 00:35:00,GPU_3,7.09,5.76,10.59,34.16,38.31,1094.45,18.35,29.46,173.48,33.69,71.12,67.13
2024-03-31 00:40:00,GPU_0,26.76,27.98,45.65,47.17,64.33,1133.62,9.29,26.98,166.92,30.29,52.32,77.67
2024-03-31 00:40:00,GPU_1,7.27,8.62,31.27,32.52,35.03,1000.0,9.29,26.98,166.92,30.29,52.32,77.67
2024-03-31 00:40:00,GPU_2,12.74,11.35,34.25,43.39,56.78,1047.46,9.29,26.98,166.92,30.29,52.32,77.67
2024-03-31 00:40:00,GPU_3,5.8,4.97,12.47,33.79,37.58,1136.21,9.29,26.98,166.92,30.29,52.32,77.67
2024-03-31 00:45:00,GPU_0,33.62,34.36,64.23,42.11,54.23,1171.57,7.98,26.59,182.15,35.88,56.04,146.39
2024-03-31 00:45:00,GPU_1,13.5,14.47,31.66,41.01,52.03,1101.87,7.98,26.59,182.15,35.88,56.04,146.39
