timestamp,gpu_id,gpu_utilization,memory_utilization,gpu_power_draw,gpu_temperature,gpu_fan_speed,gpu_clock_speed,cpu_utilization,memory_usage,server_power_draw,server_temperature,disk_usage,network_bandwidth
2024-03-31 00:00:00,GPU_0,33.1,37.32,61.07,54.95,79.91,1159.33,5.49,27.67,176.68,33.46,69.2,129.81
2024-03-31 00:00:00,GPU_1,6.84,7.27,8.77,30.0,30.0,1040.83,5.49,27.67,176.68,33.46,69.2,129.81
2024-03-31 00:00:00,GPU_2,14.63,16.32,24.65,38.37,46.74,1000.0,5.49,27.67,176.68,33.46,69.2,129.81
2024-03-31 00:00:00,GPU_3,14.77,11.86,24.72,35.67,41.35,1076.26,5.49,27.67,176.68,33.46,69.2,129.81
2024-03-31 00:05:00,GPU_0,39.76,37.84,82.19,55.55,81.09,1221.6,5.35,31.84,206.26,33.98,54.62,87.06
2024-03-31 00:05:00,GPU_1,5.97,5.77,13.71,30.75,31.5,1000.0,5.35,31.84,206.26,33.98,54.62,87.06
2024-03-31 00:05:00,GPU_2,6.65,7.23,18.3,33.35,36.7,1020.25,5.35,31.84,206.26,33.98,54.62,87.06
2024-03-31 00:05:00,GPU_3,12.77,13.48,32.36,42.8,55.61,1050.98,5.35,31.84,206.26,33.98,54.62,87.06
2024-03-31 00:10:00,GPU_0,33.35,36.11,64.18,51.44,72.87,1192.46,6.15,34.28,183.29,34.67,43.33,168.54
2024-03-31 00:10:00,GPU_1,9.13,8.55,20.05,33.61,37.21,1032.31,6.15,34.28,183.29,34.67,43.33,168.54
2024-03-31 00:10:00,GPU_2,11.24,12.71,20.7,37.93,45.85,1028.94,6.15,34.28,183.29,34.67,43.33,168.54
2024-03-31 00:10:00,GPU_3,13.81,14.13,33.19,35.26,40.53,1140.79,6.15,34.28,183.29,34.67,43.33,168.54
2024-03-31 00:15:00,GPU_0,26.17,24.78,49.38,46.64,63.29,1159.26,15.2,31.91,182.8,32.34,69.51,116.22
2024-03-31 00:15:00,GPU_1,12.53,11.96,30.02,40.59,51.18,1124.31,15.2,31.91,182.8,32.34,69.51,116.22
2024-03-31 00:15:00,GPU_2,13.6,12.26,29.4,38.88,47.75,1104.84,15.2,31.91,182.8,32.34,69.51,116.22
2024-03-31 00:15:00,GPU_3,11.24,9.15,24.52,40.31,50.62,1044.86,15.2,31.91,182.8,32.34,69.51,116.22
2024-03-31 00:20:00,GPU_0,26.03,29.31,48.64,44.92,59.83,1194.63,7.85,20.38,178.62,31.2,66.79,178.36
2024-03-31 00:20:00,GPU_1,12.75,13.7,28.56,38.58,47.15,1070.38,7.85,20.38,178.62,31.2,66.79,178.36
2024-03-31 00:20:00,GPU_2,11.55,11.88,19.46,39.19,48.38,1068.12,7.85,20.38,178.62,31.2,66.79,178.36
